config	function	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	normalized_sha256
O3	WsfTimerNextExpiration	48	40	8	no	no	72216045799c0e7db95f6f3a1d4ef4a24df9da1374c0be03f9f41c84180cdbb3	4be1b82de1c8ec43a54f514d3d23da1f00e0852ff17113d88ef48caa004c1940
O3	WsfTimerServiceExpired	48	50	-2	no	no	4aa186a9516a5828b5242fb0e364e98b5f6057f25af14e0e1cbff1dd99571355	e38b294b88b6dc028b36c5413c70a2efae4c8af677e954cdab4dc3f9eb5738c3
O3	WsfTimerUpdateTicks	212	160	52	no	no	fb3cc94bf1def5fbf0e9c4bb66f2438e9d5d1f7f0af6782ef411e7a3bb1f3688	affa06a0ee21d4ea0a82e709109b4d1fcf93e8056029422cea08a4ef475ded5a
O3_noinline	wsfTimerRemove	52	40	12	no	no	e30201b72da8676ecb9ccd44dad263c36144afedcf01b687954de8fac224bf94	ca331e271fb0edcfce33b310663743318ef548b3af5f393e6d67c7cdfb1d99ab
O3_noinline	wsfTimerInsert	72	68	4	no	no	06697f3049b90c0c45e9c871160db5604b9c3dd73af23d2fd4b38976ea7f005a	b2f8e6c60d8bdb16a76b4946bbaac573d8b278c4a846febe8b0fd7ce75f0816b
O3_noinline	WsfTimer_handler	8	12	-4	no	no	83db05db1abf34eed4f84b1f4afddccb1af5242ca20efd37c6d4bb705258a7ba	1ba9e3669037a0d539873ff4ee5d4aaf32a7ce9848de1d245ae93bacb88f63e9
O3_noinline	WsfTimerInit	84	68	16	no	no	977ef1187bfa7abf1bc8c1ace669122fccf7fe885502ee7c5465a5142fd8c71b	c8b4948735b98b80a2adb03ce5cebc9cc95fc10358e6aec7cd38207d3c04e790
O3_noinline	WsfTimerStartSec	12	12	0	no	no	5e6572156f4218e73c7cbb5fbf676a4673f332f4b1d2cb4b0f7239a01e205767	7fc51aea97ad07bfd79c9e7c21a6e76a912e04563113306b7b69c73b9629c105
O3_noinline	WsfTimerStartMs	16	14	2	no	no	055ffcb8d9d3804731c555f07382199eb662ae261c7cdc6bfafe0613d3005fd0	5c30d8252517b90e26f97a5d72ea70c63e4171530230d5a1adda1811a6e70548
O3_noinline	WsfTimerStop	24	20	4	no	no	ebf0040c296ce098ddeb3f7b10586ea799f9ff8219ddcc83c2376c31c21cff94	232ec34dea8c445b2a11ea2f800dfeaff712064813a8e942d9a001bb73863edd
O3_noinline	WsfTimerUpdate	72	52	20	no	no	39a43aa29ec35cbdfb338a01b1570cf90aefc1b20e31be42ef34998165dbb055	adce79048a8e95ca519f1410527508519b2df700a7a9353bc0b4883634f492ec
O3_noinline	WsfTimerNextExpiration	48	40	8	no	no	72216045799c0e7db95f6f3a1d4ef4a24df9da1374c0be03f9f41c84180cdbb3	4be1b82de1c8ec43a54f514d3d23da1f00e0852ff17113d88ef48caa004c1940
O3_noinline	WsfTimerServiceExpired	48	50	-2	no	no	4aa186a9516a5828b5242fb0e364e98b5f6057f25af14e0e1cbff1dd99571355	e38b294b88b6dc028b36c5413c70a2efae4c8af677e954cdab4dc3f9eb5738c3
O3_noinline	WsfTimerUpdateTicks	120	160	-40	no	no	55190c26b6320622869af6ff46cf6d13012f6922f7b07d76a85c95e579b0cbf5	a32d4df21e74273a2b4b3158c187a6c7770cab9a24eed9cf5ca9ed8743afa364
Os	wsfTimerRemove	40	40	0	no	no	1e75a82e5bc078385a75a5ba5559a6cffae4d13b00f795f14c888ab372d02d78	6424d849aa3d542493c0f2a89c63d6eb7a7d2b174c387d44e3d067dcc387153c
Os	wsfTimerInsert	68	68	0	no	no	4a40944cfc7a00ae4e40b5cca50a0ed4285803ef91d9f745faee765caa3646b7	c4075b2e7a6c3dae0f61d68a9e65cda33ae4cb729f85ded33d726e44d7fe4454
Os	WsfTimer_handler	8	12	-4	no	no	83db05db1abf34eed4f84b1f4afddccb1af5242ca20efd37c6d4bb705258a7ba	1ba9e3669037a0d539873ff4ee5d4aaf32a7ce9848de1d245ae93bacb88f63e9
Os	WsfTimerInit	76	68	8	no	no	ea19fbd756d373683a5fcc43ff93ab54d1687faa0cf8d18a442544fb7ce3c549	5234c0bc314395dddf75c5994fe2f3d4ecb03e6c033dc55b46a9fa2eb1ad2907
Os	WsfTimerStartSec	8	12	-4	no	no	8fdcd58ad69044991520e8d1700e4770cec3de5ea0dbd0c6dec12641cad909fc	25e09788dfb76889545f0b341a13b957213616ac62410099bc9719876b0909e8
Os	WsfTimerStartMs	10	14	-4	no	no	ffa8513ba66e235f91097747a59313cfe533357436ef474a225a2b439bec6eba	a10c3189fd7f2d01ccea482c51197ed5267537585801f6413572c4dbeb309545
Os	WsfTimerStop	22	20	2	no	no	f8b22c049f3e05c13900c34b4b02d457dbd5d1df33c180cce9210c514526041f	1ae16455a1a16f118a001113f127a8a94cac82aff8107b63bc75d0e1b0f659be
Os	WsfTimerUpdate	56	52	4	no	no	74180c105c38e76f87b7b40d2edbb1f2e8a149582a1575e682961bda84d66b5e	6fbb38a40ca3ea0b02aff55e91b140accb1e732b8e95adce0e8f6770e66511d6
Os	WsfTimerNextExpiration	40	40	0	no	no	f20155cebdfa59be33968c4bf6e5201c8c9a0c6c2f7d0edf570d289701a65c18	0584cec09c5d09b48a20fc597ef2afbc9c63d93f85c58f499bd605ac2eb5f9f8
Os	WsfTimerServiceExpired	48	50	-2	no	no	010627b79094ab65e7d38d1f49fd9460d6e846d75ca196446b527a27a30adfa4	e497e1ee075b1d4c509080c426ae147fe9cec769c42dd6de52b7e2b51632edad
Os	WsfTimerUpdateTicks	104	160	-56	no	no	7cccf0322be7f3afbd894f3ad2277fb5e922fc6caae7b2a6158a6d93e1f66d54	47054399111376cfe4a82b528fdc5280f0990a0f796f95200971b269da43d718
Os_noinline	wsfTimerRemove	40	40	0	no	no	1e75a82e5bc078385a75a5ba5559a6cffae4d13b00f795f14c888ab372d02d78	6424d849aa3d542493c0f2a89c63d6eb7a7d2b174c387d44e3d067dcc387153c
Os_noinline	wsfTimerInsert	68	68	0	no	no	4a40944cfc7a00ae4e40b5cca50a0ed4285803ef91d9f745faee765caa3646b7	c4075b2e7a6c3dae0f61d68a9e65cda33ae4cb729f85ded33d726e44d7fe4454
Os_noinline	WsfTimer_handler	8	12	-4	no	no	83db05db1abf34eed4f84b1f4afddccb1af5242ca20efd37c6d4bb705258a7ba	1ba9e3669037a0d539873ff4ee5d4aaf32a7ce9848de1d245ae93bacb88f63e9
Os_noinline	WsfTimerInit	76	68	8	no	no	ea19fbd756d373683a5fcc43ff93ab54d1687faa0cf8d18a442544fb7ce3c549	5234c0bc314395dddf75c5994fe2f3d4ecb03e6c033dc55b46a9fa2eb1ad2907
Os_noinline	WsfTimerStartSec	8	12	-4	no	no	8fdcd58ad69044991520e8d1700e4770cec3de5ea0dbd0c6dec12641cad909fc	25e09788dfb76889545f0b341a13b957213616ac62410099bc9719876b0909e8
Os_noinline	WsfTimerStartMs	10	14	-4	no	no	ffa8513ba66e235f91097747a59313cfe533357436ef474a225a2b439bec6eba	a10c3189fd7f2d01ccea482c51197ed5267537585801f6413572c4dbeb309545
Os_noinline	WsfTimerStop	22	20	2	no	no	f8b22c049f3e05c13900c34b4b02d457dbd5d1df33c180cce9210c514526041f	1ae16455a1a16f118a001113f127a8a94cac82aff8107b63bc75d0e1b0f659be
Os_noinline	WsfTimerUpdate	56	52	4	no	no	74180c105c38e76f87b7b40d2edbb1f2e8a149582a1575e682961bda84d66b5e	6fbb38a40ca3ea0b02aff55e91b140accb1e732b8e95adce0e8f6770e66511d6
Os_noinline	WsfTimerNextExpiration	40	40	0	no	no	f20155cebdfa59be33968c4bf6e5201c8c9a0c6c2f7d0edf570d289701a65c18	0584cec09c5d09b48a20fc597ef2afbc9c63d93f85c58f499bd605ac2eb5f9f8
