entry,name,body_min,body_max,body_bytes,body_sha256,body_ranges,thunk,external,calling_functions,called_functions
0x000faef6,"nrf_balloc_free",0x000faef6,0x000faf25,48,d8b1c0bc8419d5ebb190dfcb137bd66ab56949084ecda3dfd56c00f4e0d89374,"000faef6-000faf25",false,false,"ble_evt_handler@000fa210;on_flash_write@000fc684","app_util_critical_region_enter@000f9ed4;app_util_critical_region_exit@000f9f1c"
0x000faf26,"nrf_balloc_init",0x000faf26,0x000faf55,48,625237f267aee29c404f594d48e2dd1d94ed000afb1a6e5f4febadd9ea022204,"000faf26-000faf55",false,false,"ble_dfu_transport_init@000fa178",""
0x000faf56,"nrf_bootloader_app_start_final",0x000faf56,0x000fafd3,124,f1feef9250d44400132ad5c2751689a29f737ccc4df8cf0e94b8fea03531e09e,"000faf56-000faf79;000faf7c-000fafd3",false,false,"nrf_bootloader_init@000fb0b8","app_error_handler_bare@000f9dc4;nrf_bootloader_acl_add@000fb004;nrf_dfu_bank0_start_addr@000fb4d0;nrf_dfu_mbr_irq_forward_address_set@000fb770"
0x000fafdc,"nrf_bootloader_dfu_inactivity_timer_restart",0x000fafdc,0x000faffd,34,6bfaac965c985b9a607992f034762c67e529efcde7326b026cd25d84f615ff12,"000fafdc-000faffd",false,false,"nrf_bootloader_dfu_observer@000fa908;nrf_bootloader_init@000fb0b8","timer_start@000fd6a0;timer_stop@000fd6bc"
0x000fb004,"nrf_bootloader_acl_add",0x000fb004,0x000fb03b,56,fda0ce3890a7069955494224dccb5a509b97decbe659d164febb5c93e21e0efd,"000fb004-000fb03b",false,false,"main@000fadc8;nrf_bootloader_app_start_final@000faf56",""
0x000fb044,"nrf_bootloader_fw_activate",0x000fb044,0x000fb0a9,102,85aa08f1b3e35fd40667ebeac6af5d5047fdb073d5aaba67951f2b820e8da008,"000fb044-000fb0a9",false,false,"nrf_bootloader_init@000fb0b8","nrf_bootloader_app_activate@000f9d78;nrf_bootloader_bl_activate@000f9f50;nrf_dfu_bank_invalidate@000fb518;nrf_dfu_settings_write_and_backup@000fbae0;nrf_bootloader_sd_activate@000fd2a0"
0x000fb0b8,"nrf_bootloader_init",0x000fb0b8,0x000fb14d,150,3d179624d234d0c30dc10b5a7266678e0253099885241cc93b39e891ad289926,"000fb0b8-000fb14d",false,false,"main@000fadc8","app_error_handler_bare@000f9dc4;app_sched_execute@000f9e68;app_sched_init@000f9ea8;bootloader_reset@000fa4a4;nrf_bootloader_app_is_valid@000fa870;nrf_bootloader_app_start_final@000faf56;nrf_bootloader_dfu_inactivity_timer_restart@000fafdc;nrf_bootloader_fw_activate@000fb044;nrf_bootloader_wdt_feed@000fb198;nrf_bootloader_wdt_init@000fb1c0;nrf_dfu_init@000fb710;nrf_dfu_init_user@000fb73c;nrf_dfu_settings_additional_erase@000fb8e4;nrf_dfu_settings_backup@000fb988;nrf_dfu_settings_init@000fb994"
0x000fb168,"nrf_bootloader_mbr_addrs_populate",0x000fb168,0x000fb191,42,4db8de45abff078267f8ff2b44e676211176f19b9383583eb57a932d1e3d5c5e,"000fb168-000fb191",false,false,"main@000fadc8","nrf_nvmc_write_word@000fc0a0"
0x000fb198,"nrf_bootloader_wdt_feed",0x000fb198,0x000fb1ab,20,0264afc58ce088bc4367ed0bad665b486a0ab154d943a13a84ba095bd6007d84,"000fb198-000fb1ab",false,false,"nrf_bootloader_bl_activate@000f9f50;nrf_bootloader_init@000fb0b8","nrf_wdt_started@000fc440;wdt_feed@000fd78c"
0x000fb1ac,"nrf_bootloader_wdt_feed_timer_start",0x000fb1ac,0x000fb1bb,16,d40136eeec3bea67b6b1d1e8002826d04bd59e17ebef17e488ed58658cd04eb6,"000fb1ac-000fb1bb",false,false,"nrf_bootloader_wdt_init@000fb1c0","timer_start@000fd6a0"
0x000fb1c0,"nrf_bootloader_wdt_init",0x000fb1c0,0x000fb1fb,60,1cb2ae9120fc27e22697106f0eb125a93d20d6058fe0c67e2678bffb2b233726,"000fb1c0-000fb1fb",false,false,"image_copy@000fac3c;nrf_bootloader_init@000fb0b8","nrf_bootloader_wdt_feed_timer_start@000fb1ac;nrf_wdt_started@000fc440;wdt_feed@000fd78c"
0x000fb208,"nrf_crypto_backend_secp256r1_public_key_from_raw",0x000fb208,0x000fb227,32,27cdd3a65306cd72ac4776c0cc0883f6256d410ddc5eb2fc8d9030b904493063,"000fb208-000fb227",false,false,"nrf_crypto_ecc_public_key_from_raw@000fb298","memmove@000f841a"
0x000fb228,"nrf_crypto_backend_secp256r1_verify",0x000fb228,0x000fb28b,100,e41a0d8f8ae0f037d5a8bf8812bfb33d92071ad5029dd9371f9f1fa978d7fc9e,"000fb228-000fb28b",false,false,"nrf_crypto_ecdsa_verify@000fb2cc","nrf_cc310_bl_ecdsa_verify_hash_secp256r1@000f9648;cc310_bl_backend_disable@000fa510;cc310_bl_backend_enable@000fa534;nrf_atomic_u32_fetch_store@000faea8"
0x000fb298,"nrf_crypto_ecc_public_key_from_raw",0x000fb298,0x000fb2c7,48,45d9da8f0cbbb1e30a226a36b46bc841f9178cbb8559f981880f930a27f1993b,"000fb298-000fb2c7",false,false,"crypto_init@000fa6b8","nrf_crypto_backend_secp256r1_public_key_from_raw@000fb208;nrf_crypto_internal_ecc_key_output_prepare@000fb470;nrf_crypto_internal_ecc_raw_input_check@000fb48a"
0x000fb2cc,"nrf_crypto_ecdsa_verify",0x000fb2cc,0x000fb31b,80,83e3d6339cd3c5f5f215b84f8525d790797f0acc38ca3d2e9a275fbc41dfcbae,"000fb2cc-000fb31b",false,false,"nrf_dfu_validation_signature_check@000fbdb0","nrf_crypto_backend_secp256r1_verify@000fb228;nrf_crypto_internal_ecc_key_input_check@000fb458;nrf_crypto_internal_ecc_raw_input_check@000fb48a"
0x000fb320,"nrf_crypto_hash_finalize",0x000fb320,0x000fb38b,108,a40f0778eaa75bcebe4a0a1f5897991c9b9b527b82bca67927206624939ded34,"000fb320-000fb38b",false,false,"boot_validation_extract@000fa40c;nrf_dfu_validation_boot_validate@000fbb76;nrf_dfu_validation_signature_check@000fbdb0","nrf_crypto_hash_init@000fb38c;nrf_crypto_hash_update@000fb3b8;verify_context@000fd76c"
0x000fb38c,"nrf_crypto_hash_init",0x000fb38c,0x000fb3b1,38,473dd076e9a8b74183d2c6d70ebcc8bf82fb9d514fae0e5094eb732d47adb849,"000fb38c-000fb3b1",false,false,"nrf_crypto_hash_finalize@000fb320",""
0x000fb3b8,"nrf_crypto_hash_update",0x000fb3b8,0x000fb3e5,46,500a5ff46f17029f862a98d5a15fcb2223050bb210d16b5eb6fd40624769a724,"000fb3b8-000fb3e5",false,false,"nrf_crypto_hash_finalize@000fb320","verify_context@000fd76c"
0x000fb3e8,"nrf_crypto_init",0x000fb3e8,0x000fb419,48,7eba63b980bdc988823d6262da4d333d9c04ef7ec45ac7ccad290fe75bed0863,"000fb3e8-000fb3fd;000fb400-000fb419",false,false,"crypto_init@000fa6b8","cc310_bl_backend_init@000fa608"
