caller_entry,caller_name,callsite,callee_entry,callee_name,reference_type
0x000faa30,"nrf_fstorage_nvmc_event_send",0x000faa4c,0x000f846a,"armcc_memclr","UNCONDITIONAL_CALL"
0x000faa66,"event_send",0x000faa7a,0x000f846a,"armcc_memclr","UNCONDITIONAL_CALL"
0x000faaba,"ext_err_code_handle",0x000faac2,0x000faad8,"ext_error_set","UNCONDITIONAL_CALL"
0x000fab04,"gap_params_init",0x000fab52,0x000f9dc4,"app_error_handler_bare","UNCONDITIONAL_CALL"
0x000fab04,"gap_params_init",0x000fab5a,0x000f846a,"armcc_memclr","UNCONDITIONAL_CALL"
0x000fab04,"gap_params_init",0x000fab62,0x000f8480,"strlen","UNCONDITIONAL_CALL"
0x000fab04,"gap_params_init",0x000fab6e,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000fab04,"gap_params_init",0x000fab78,0x000f84a8,"strncmp","UNCONDITIONAL_CALL"
0x000fac3c,"image_copy",0x000fac62,0x000fb1c0,"nrf_bootloader_wdt_init","UNCONDITIONAL_CALL"
0x000fac3c,"image_copy",0x000fac82,0x000fb6cc,"nrf_dfu_flash_erase","UNCONDITIONAL_CALL"
0x000fac3c,"image_copy",0x000fac9a,0x000fb6f8,"nrf_dfu_flash_store","UNCONDITIONAL_CALL"
0x000fac3c,"image_copy",0x000facb6,0x000fbae0,"nrf_dfu_settings_write_and_backup","UNCONDITIONAL_CALL"
0x000face0,"nrf_fstorage_sd_init",0x000face8,0x000fae8c,"nrf_atomic_u32_fetch_or","UNCONDITIONAL_CALL"
0x000face0,"nrf_fstorage_sd_init",0x000facee,0x000fc330,"nrf_sdh_is_enabled","UNCONDITIONAL_CALL"
0x000face0,"nrf_fstorage_sd_init",0x000fad06,0x000fae08,"nrf_atfifo_init","UNCONDITIONAL_CALL"
0x000fad98,"iter_from_extension",0x000fada8,0x000fcc68,"pb_field_iter_begin","UNCONDITIONAL_CALL"
0x000fadc8,"main",0x000fadc8,0x000fb168,"nrf_bootloader_mbr_addrs_populate","UNCONDITIONAL_CALL"
0x000fadc8,"main",0x000fadd2,0x000fb004,"nrf_bootloader_acl_add","UNCONDITIONAL_CALL"
0x000fadc8,"main",0x000fadde,0x000fb004,"nrf_bootloader_acl_add","UNCONDITIONAL_CALL"
0x000fadc8,"main",0x000fade6,0x000fb0b8,"nrf_bootloader_init","UNCONDITIONAL_CALL"
0x000fadc8,"main",0x000fadea,0x000fc654,"app_error_fault_handler","UNCONDITIONAL_CALL"
0x000fadf8,"nrf_atfifo_clear",0x000fadfa,0x000f82ae,"nrf_atfifo_space_clear","UNCONDITIONAL_CALL"
0x000fae2e,"nrf_atfifo_item_alloc",0x000fae34,0x000f8218,"nrf_atfifo_wspace_req","UNCONDITIONAL_CALL"
0x000fae44,"nrf_atfifo_item_free",0x000fae4e,0x000f829c,"nrf_atfifo_rspace_close","UNCONDITIONAL_CALL"
0x000fae5a,"nrf_atfifo_item_get",0x000fae60,0x000f8262,"nrf_atfifo_rspace_req","UNCONDITIONAL_CALL"
0x000fae70,"nrf_atfifo_item_put",0x000fae7a,0x000f8250,"nrf_atfifo_wspace_close","UNCONDITIONAL_CALL"
0x000fae86,"nrf_atomic_flag_clear",0x000fae96,0x000f8312,"nrf_atomic_internal_and","UNCONDITIONAL_CALL"
0x000fae8c,"nrf_atomic_u32_fetch_or",0x000faea2,0x000f82f8,"nrf_atomic_internal_orr","UNCONDITIONAL_CALL"
0x000faea8,"nrf_atomic_u32_fetch_store",0x000faeac,0x000f82e0,"nrf_atomic_internal_mov","UNCONDITIONAL_CALL"
0x000faeb2,"nrf_balloc_alloc",0x000faebe,0x000f9ed4,"app_util_critical_region_enter","UNCONDITIONAL_CALL"
